children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__children__coloring,children__colname,name
,Accountants and auditors    ,1436100,13,12,48,very low,very low,low to medium,low to medium,,
,Aerospace engineers    ,66400,20,36,80,low,low to medium,high,high,,
,Recreational therapists    ,19900,26,22,54,low,low,medium to high,medium to high,,
,Clinical laboratory technologists and technicians,337800,87,53,100,very high,medium to high,very high,very high,,
Doctoral or Master's degree,Mathematicians    ,2900,62,18,89,medium to high,low,very high,very high,level2,
,Political scientists    ,7000,59,41,87,medium to high,low to medium,very high,very high,,
,Psychology teachers postsecondary    ,46800,1,3,1,very low,very low,very low,very low,,
,Sociology teachers postsecondary    ,17000,1,3,1,very low,very low,very low,very low,,
,General internal medicine physicians,49500,,,,,,,,,
,Historians    ,3500,59,41,87,medium to high,low to medium,very high,very high,,
,Physicians all other; and ophthalmologists except pediatric,429500,,,,,,,,,
,Chiropractors    ,51100,8,16,28,very low,very low,low,low,,
,Surgeons except ophthalmologists,39600,,,,,,,,,
,Family medicine physicians,119300,,,,,,,,,
,Speech-language pathologists    ,162600,59,25,59,medium to high,low,medium to high,medium to high,,
,Biological science teachers postsecondary    ,64699.996,1,3,1,very low,very low,very low,very low,,
,Psychologists all other    ,19800,30,11,85,low,very low,very high,very high,,
,Communications teachers postsecondary    ,35600,1,3,1,very low,very low,very low,very low,,
,Dentists all other specialists    ,6200,84,62,54,very high,medium to high,medium to high,medium to high,,
,Law teachers postsecondary    ,21300,1,3,1,very low,very low,very low,very low,,
,Counselors all other    ,29100,17,9,40,low,very low,low to medium,low to medium,,
,Judicial law clerks    ,17300,40,16,79,low to medium,very low,high,high,,
,Physical therapists    ,258200.02,64,43,93,medium to high,low to medium,very high,very high,,
,Judges magistrate judges and magistrates    ,29900,40,16,79,low to medium,very low,high,high,,
,Family and consumer sciences teachers postsecondary    ,2500,1,3,1,very low,very low,very low,very low,,
,Physician assistants    ,125500,92,35,24,very high,low to medium,low,low,,
,Prosthodontists    ,600,84,62,54,very high,medium to high,medium to high,medium to high,,
,Education administrators postsecondary    ,190500,26,13,63,low,very low,medium to high,medium to high,,
,Epidemiologists    ,8000,59,25,93,medium to high,low,very high,very high,,
,Genetic counselors    ,2600,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Nurse anesthetists    ,44900,43,22,78,low to medium,low,high,high,,
,Philosophy and religion teachers postsecondary    ,30900,1,3,1,very low,very low,very low,very low,,
,Art drama and music teachers postsecondary    ,116300,1,3,1,very low,very low,very low,very low,,
,Criminal justice and law enforcement teachers postsecondary    ,16800,1,3,1,very low,very low,very low,very low,,
,Atmospheric earth marine and space sciences teachers postsecondary    ,13100,1,3,1,very low,very low,very low,very low,,
,Urban and regional planners    ,39700,24,8,84,low,very low,very high,very high,,
,Anthropologists and archeologists    ,8000,59,41,87,medium to high,low to medium,very high,very high,,
,Optometrists    ,44400,66,64,100,medium to high,medium to high,very high,very high,,
,Nurse midwives    ,7200,43,22,78,low to medium,low,high,high,,
,Statisticians    ,42700,62,18,89,medium to high,low,very high,very high,,
,Survey researchers    ,12200,49,26,87,low to medium,low,very high,very high,,
,Marriage and family therapists    ,66200,17,9,40,low,very low,low to medium,low to medium,,
,Veterinarians    ,89200,70,59,85,high,medium to high,very high,very high,,
,Geography teachers postsecondary    ,4800,1,3,1,very low,very low,very low,very low,,
,Occupational therapists    ,143300,72,49,93,high,low to medium,very high,very high,,
,Industrial-organizational psychologists    ,1100,30,11,85,low,very low,very high,very high,,
,Nursing instructors and teachers postsecondary    ,72900,1,3,1,very low,very low,very low,very low,,
,Postsecondary teachers all other    ,245900,1,3,1,very low,very low,very low,very low,,
,Education administrators kindergarten through secondary    ,283200,26,13,63,low,very low,medium to high,medium to high,,
,Political science teachers postsecondary    ,19800,1,3,1,very low,very low,very low,very low,,
,Oral and maxillofacial surgeons    ,5600,84,62,54,very high,medium to high,medium to high,medium to high,,
,Sociologists    ,3200,59,41,87,medium to high,low to medium,very high,very high,,
,Astronomers    ,2300,75,54,100,high,medium to high,very high,very high,,
,Agricultural sciences teachers postsecondary    ,11400,1,3,1,very low,very low,very low,very low,,
,Education teachers postsecondary    ,77300,1,3,1,very low,very low,very low,very low,,
