children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__children__coloring,children__colname,name
,Health and safety engineers except mining safety engineers and inspectors    ,26400,62,50,84,medium to high,low to medium,very high,low to medium,,
,Data scientists and mathematical science occupations all other,33200,,,,,,,,,
,Soil and plant scientists    ,17800,17,25,53,low,low,medium to high,low,,
,Geographers    ,1600,59,41,87,medium to high,low to medium,very high,low to medium,,
,Art directors    ,99100,66,33,52,medium to high,low,medium to high,low,,
,Social and community service managers    ,175500,50,26,68,low to medium,low,high,low,,
,Social science research assistants    ,40100,80,51,82,high,medium to high,high,medium to high,,
,News analysts reporters and journalists,52000,5,6,14,very low,very low,very low,very low,,
Doctoral or Master's degree,Social sciences teachers postsecondary all other    ,19300,1,3,1,very low,very low,very low,very low,level2,
,Physicists    ,18200,75,54,100,high,medium to high,very high,medium to high,,
,Pediatricians general,32500,,,,,,,,,
,Orthodontists    ,7200,84,62,54,very high,medium to high,medium to high,medium to high,,
,Physicians all other; and ophthalmologists except pediatric,429500,,,,,,,,,
,Podiatrists    ,10500,1,4,26,very low,very low,low,very low,,
,Astronomers    ,2300,75,54,100,high,medium to high,very high,medium to high,,
,Atmospheric earth marine and space sciences teachers postsecondary    ,13100,1,3,1,very low,very low,very low,very low,,
,Health specialties teachers postsecondary    ,254000,1,3,1,very low,very low,very low,very low,,
,Criminal justice and law enforcement teachers postsecondary    ,16800,1,3,1,very low,very low,very low,very low,,
,Clinical counseling and school psychologists    ,171500,30,11,85,low,very low,very high,very low,,
,Archivists    ,8100.0005,7,13,28,very low,very low,low,very low,,
,Computer science teachers postsecondary    ,38500,1,3,1,very low,very low,very low,very low,,
,Foreign language and literature teachers postsecondary    ,30600,1,3,1,very low,very low,very low,very low,,
,Physician assistants    ,125500,92,35,24,very high,low to medium,low,low to medium,,
,Recreation and fitness studies teachers postsecondary    ,19100,1,3,1,very low,very low,very low,very low,,
,Industrial-organizational psychologists    ,1100,30,11,85,low,very low,very high,very low,,
,Family and consumer sciences teachers postsecondary    ,2500,1,3,1,very low,very low,very low,very low,,
,Surgeons except ophthalmologists,39600,,,,,,,,,
,Administrative law judges adjudicators and hearing officers    ,15400,40,16,79,low to medium,very low,high,very low,,
,Art drama and music teachers postsecondary    ,116300,1,3,1,very low,very low,very low,very low,,
,Forestry and conservation science teachers postsecondary    ,2100,1,3,1,very low,very low,very low,very low,,
